cuda
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000011.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000030.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000030.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam6/00000032.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam6/00000032.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/1319/cam5/00000027.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/1319/cam5/00000027.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000049.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000049.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam1/00000090.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam1/00000090.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam6/00000045.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam6/00000045.jpg'
Couldn't read image /scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000089.jpg, got error cannot identify image file '/scratch/palle.a/AirKeyboard/data/hanco_all/HanCo/rgb/0400/cam5/00000089.jpg'
999 124
Epoch: 1/1000, Train Loss=0.9930733891, Val Loss=0.9929842949
Epoch: 2/1000, Train Loss=0.9928727793, Val Loss=0.9926978747
Epoch: 3/1000, Train Loss=0.992594392, Val Loss=0.9923924719
Epoch: 4/1000, Train Loss=0.9921431654, Val Loss=0.9917663222
Epoch: 5/1000, Train Loss=0.9913016776, Val Loss=0.9907121942
Epoch: 6/1000, Train Loss=0.989931646, Val Loss=0.9890206456
Epoch: 7/1000, Train Loss=0.9880981847, Val Loss=0.9872072736
Epoch: 8/1000, Train Loss=0.9862581031, Val Loss=0.9848506564
Epoch: 9/1000, Train Loss=0.9825991599, Val Loss=0.9770226535
Epoch: 10/1000, Train Loss=0.9584579102, Val Loss=0.927968187
Epoch: 11/1000, Train Loss=0.9150110554, Val Loss=0.906212872
Epoch: 12/1000, Train Loss=0.9070824768, Val Loss=0.9021192647
Epoch: 13/1000, Train Loss=0.9028599351, Val Loss=0.8962886589
Epoch: 14/1000, Train Loss=0.8960630846, Val Loss=0.8910836577
Epoch: 15/1000, Train Loss=0.8913111834, Val Loss=0.8874003149
Epoch: 16/1000, Train Loss=0.8862961678, Val Loss=0.8801987994
Epoch: 17/1000, Train Loss=0.8825571248, Val Loss=0.8754533756
Epoch: 18/1000, Train Loss=0.8793262509, Val Loss=0.8899425268
